,State,city,Zipcode,latitude,longitude,counts
13387,OR,Seal Rock,97376,44.504993,-124.079315,1
13388,WA,Mazama,98833,48.594482,-120.406494,1
13389,CA,Placentia,92870,33.887622,-117.838402,8
13397,CA,Alameda,94501,37.756871,-122.253088,21
13418,ID,Nampa,83687,43.600942,-116.507727,9
13427,NV,Carson City,89701,39.133346,-119.770034,9
13436,CA,La Crescenta,91214,34.231802,-118.25136,3
13439,CA,Lemon Grove,91945,32.744765,-117.030389,1
13440,CA,Thousand Oaks,91362,34.1629744,-118.8282546,35
13475,CA,Vista,92083,33.196108,-117.250815,13
13488,CA,Woodland Hills,91367,34.182338,-118.606363,10
13498,OR,North Bend,97459,43.393471,-124.21869,4
13502,CO,Greenwood Village,80111,39.614825,-104.898181,15
13517,NV,Stateline,89449,38.960367,-119.940888,4
13521,OR,Coos Bay,97420,43.366504,-124.214993,3
13524,WA,Chelan,98816,47.8399,-120.0199,5
13529,WA,Winthrop,98862,48.476543,-120.180796,3
13532,WA,Omak,98841,48.421424,-119.503978,1
13533,WA,Leavenworth,98826,47.758434,-120.742416,12
13545,WA,Pateros,98846,48.051825,-119.901506,1
13546,CA,Albany,94706,37.893607,-122.300246,2
13548,WA,Ridgefield,98642,45.748069,-122.662816,17
13565,UT,Orem,84058,40.272987,-111.701159,29
13594,CA,Upland,91786,34.107363,-117.667072,5
13599,WY,Jackson,83001,43.477902,-110.764861,17
13616,NV,Incline Village,89451,39.25443,-119.923261,8
13624,WA,Cougar,98616,46.051228,-122.301754,1
13625,CA,Gustine,95322,37.055147,-121.015402,6
13631,UT,Lehi,84043,40.435265,-111.89106,57
13688,WA,Mercer Island,98040,47.572423,-122.223262,16
13704,CA,San Simeon,93452,35.61477,-121.145461,3
13707,CA,Felton,95018,37.039479,-122.068751,2
13709,CA,Chula Vista,91911,32.595542,-117.02529,50
13759,OR,Bandon,97411,43.119134,-124.407312,5
13764,WA,Richland,99352,46.260176,-119.280814,51
13815,WA,Longmire,98397,46.761214,-122.040397,1
13816,WA,Ashford,98304,46.755816,-122.120894,5
13821,CA,Woodland,95776,38.679225,-121.753508,20
13841,CO,Breckenridge,84024,39.513986,-106.050975,17
13858,CO,Rifle,81650,39.525883,-107.745102,5
13863,CO,Leadville,80461,39.23623432378932,-106.3024708889771,3
13866,CA,Mill Valley,94941,37.893488,-122.572748,9
13875,NV,Sparks,89431,39.540389,-119.749374,19
13894,CO,Parachute,81623,39.455231,-108.050053,1
13895,WA,Blaine,98230,48.989751,-122.773271,4
13899,CO,Montrose,81401,38.479653,-107.874886,7
13906,CA,Somerset,95684,38.633369,-120.62423,2
13908,UT,Pleasant Grove,84062,40.352197,-111.769819,4
13912,CA,Redondo Beach,90278,33.872549,-118.360193,8
13920,CA,Menlo Park,94025,37.465509,-122.160776,361
14281,CO,Estes Park,80517,40.377588,-105.520449,13
14294,CA,Berkeley,94710,37.873525,-122.304802,109
14403,CA,Paso Robles,93446,35.641205,-120.687141,48
14451,CA,Point Reyes Station,94956,38.040933,-122.800044,2
14453,CA,Belmont,94002,37.5335013,-122.2723743,7
14460,OR,Arlington,97812,45.7176,-120.20343,1
14461,CA,Agoura,91301,34.13805,-118.714873,1
14462,CA,Alhambra,91803,34.084323,-118.149744,13
14475,CA,Castaic,91384,34.465239,-118.586761,5
14480,CA,Lancaster,93536,34.699161,-118.236662,28
14508,CA,Lynwood,90059,33.928019,-118.225363,6
14514,CA,Norwalk,90650,33.914865,-118.066813,10
14524,CA,Santa Clarita,91355,34.416092,-118.551259,31
14555,CA,Temple City,91780,34.103035,-118.07594,1
14556,CA,Walnut,91789,34.029518,-117.83428,3
14559,WA,Longview,98632,46.141922,-122.940192,3
14562,CA,Studio City,91604,34.139746,-118.361851,11
14573,CA,El Segundo,90245,33.916294,-118.385869,47
14620,CO,Aspen,81611,39.191258,-106.818009,29
14649,CA,Ferndale,95536,40.575434,-124.264839,5
14654,CO,Brighton,80601,39.924079,-104.811713,12
14666,CO,Highlands Ranch,80129,39.560813,-105.004869,12
14678,CA,Point Arena,95468,38.9143349,-123.7097718,2
14680,WA,East Wenatchee,98802,47.400783,-120.279071,3
14683,CA,Jenner,95450,38.5159746604047,-123.2467089497376,3
14686,OR,Sandy,97055,45.400895,-122.281716,3
14689,CA,Plymouth,95669,38.53691,-120.79411,6
14695,CO,Northglenn,80234,39.884699,-104.991004,2
14697,CA,Philo,95466,39.0979,-123.484338,5
14702,CA,Marina Del Rey,90292,33.978488,-118.442785,6
14708,CA,Commerce,90022,34.011408,-118.153406,16
14724,WA,Kirkland,98034,47.716056,-122.179455,36
14760,CA,Morgan Hill,95037,37.134563,-121.632944,17
14777,WA,Kennewick,99336,46.213233,-119.162367,6
14783,CO,Glenwood Springs,81601,39.54647,-107.323692,19
14802,WA,Mukilteo,98275,47.890423,-122.286971,3
14805,CA,Winters,95694,38.521374,-121.968032,2
14807,UT,Springdale,84767,37.251,-112.9558,10
14817,CO,Eagle,81631,39.652053,-106.827821,7
14824,NV,Laughlin,89029,35.14459,-114.578187,7
14831,NV,Paradise,89109,36.119644,-115.16898,2
14833,CA,Gaviota,93117,34.543044,-120.191925,1
14834,AZ,Gilbert,85234,33.342649,-111.70276,19
14853,ID,Meridian,83642,43.59012,-116.390613,7
14860,CA,Anaheim,92806,33.80436800533128,-117.8771492380982,203
15063,OR,Banks,97106,45.61007,-123.11286,2
15065,OR,Central Point,97497,42.378367,-122.900702,2
15067,OR,Roseburg,97470,43.226684,-123.355712,10
15077,OR,Wolf Creek,97497,42.695946,-123.395956,1
15078,WA,Centralia,98531,46.725274,-122.974224,5
15083,OR,Springfield,97477,44.084422,-123.039829,5
15088,WA,Castle Rock,98611,46.276122,-122.910167,1
15089,WA,Burlington,98233,48.457448,-122.335866,4
15093,OR,Newport,97365,44.632443,-124.055347,7
15100,WA,Custer,98240,48.927904,-122.648343,1
15101,WA,Skykomish,98288,47.711268,-121.360495,3
15104,OR,Oakland,97462,43.537046,-123.290133,1
15105,OR,Canyonville,97417,42.940681,-123.290092,2
15107,WA,Port Townsend,98368,48.093634,-122.813252,7
15114,CA,Fort Bragg,95437,39.460807,-123.806806,8
15122,CO,Steamboat Springs,80487,40.490191,-106.839184,13
