Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
93060,1,33773,62789,14179,1.473602162,11975,1.244543754,34.308269,-119.113396
93063,3,169374,289200,80907,4.262750263,73185,3.855900948,102.863283,-356.162929
93065,15,1077480,1516530,515085,21.5688204,467325,19.56890415,514.164234,-1781.729925
93066,1,3220,106875,1392,1.364705882,1225,1.200980392,34.272463,-119.10752
93101,36,1129356,2182032,617652,47.14900763,434700,33.18320611,1239.128453,-4309.20591
93103,5,102690,460505,54195,6.993805652,42100,5.432959091,172.114683,-598.402373
93105,5,142725,472780,64445,5.529386529,52775,4.528099528,172.21153,-598.682598
93108,9,93609,1348461,28116,6.938795656,22410,5.530602172,309.904597,-1077.001354
93109,6,64626,542046,28290,6.227162668,24630,5.421527625,206.436379,-718.186058
93110,7,117943,609777,47845,7.409787827,41720,6.461204894,241.097544,-838.474264
93117,16,936736,1058416,411104,25.59960147,268240,16.70340619,550.961712,-1918.037779
93203,3,67986,116955,23739,4.496022727,18060,3.420454545,105.405925,-356.6041
93206,5,8520,192710,2650,5.463917526,2500,5.154639175,177.002576,-596.988857
93210,12,220032,732456,69456,14.78101724,61620,13.11342839,434.4815079,-1443.502939
93215,6,329748,261120,114072,9.247081712,98400,7.976653696,214.589298,-715.46847
93221,1,14129,49354,5150,1.067357513,4645,0.962694301,36.297258,-119.140309
93230,15,1014075,933585,407745,18.36358314,356325,16.04778418,544.9613606,-1794.765044
93234,7,51485,182378,15988,8.882222222,12250,6.805555556,253.4462323,-840.7070026
93239,2,2492,110164,1048,3.185410334,920,2.796352584,71.993066,-239.920881
93241,1,16397,41563,6371,1.584037792,5195,1.291645947,35.2579858,-118.9036899
93243,8,12256,353752,4800,7.100591716,4360,6.449704142,279.405644,-951.37396
93245,6,230880,373752,99768,8.169000246,87900,7.197248833,217.7456514,-718.7323156
93249,2,3750,67750,1604,3.120622568,1470,2.859922179,71.232603,-239.314707
93257,7,535633,307251,182966,8.218020122,154490,6.939004671,252.509805,-833.158979
93263,1,22210,46274,7866,1.350386266,7095,1.218025751,35.467217,-119.209387
93268,2,37462,79034,12828,1.998130841,10680,1.663551402,70.2862951,-238.9138658
93271,1,2479,72188,1007,0.894316163,915,0.812611012,36.4795915,-118.9086235
93274,6,444000,319110,167268,7.791503633,150570,7.013694802,217.062164,-715.963326
93277,3,156813,177669,62400,3.439722176,55290,3.047792294,108.924653,-358.055987
93280,3,84414,118287,25038,4.002877698,22860,3.654676259,106.762874,-358.021466
93291,7,414890,431193,156877,9.00091801,142695,8.187216708,254.370015,-835.50585
93292,6,252186,368988,100200,7.370898926,90540,6.660291305,217.968336,-715.642884
93301,18,221850,599832,72072,15.34099617,58050,12.35632184,636.8917844,-2142.35575
93307,5,434160,192075,147465,6.529333629,129750,5.744963471,176.670247,-594.466356
93308,5,269905,218585,94910,4.870176519,82975,4.257748358,177.114794,-595.280575
93309,4,234152,203356,98860,4.612943866,89220,4.163128179,141.442017,-476.241072
93311,4,181924,392520,79064,5.443679427,73440,5.056458276,141.308352,-476.556892
93313,4,220884,300648,90380,6.241281679,79300,5.47614115,141.226456,-476.143747
93314,1,28963,111635,12075,1.310079201,11250,1.220570685,35.3546,-119.3316
93401,27,779058,1946889,379566,30.95718131,298215,24.32224125,951.6994435,-3257.365147
93405,12,430776,551196,157752,18.23511733,103440,11.95699919,423.4082758,-1448.127643
93420,6,184440,513306,75222,6.41060167,66090,5.632350435,210.780981,-723.453334
93422,3,100398,248298,46914,3.667161729,40815,3.190416634,106.486671,-362.040831
93424,2,1590,116250,296,0.58382643,0,0,70.369455,-241.457198
93426,1,1568,79750,641,1.338204593,400,0.835073069,35.850233,-120.770224
93427,4,24800,365172,11388,4.994736842,10220,4.48245614,138.461186,-480.761895
93428,6,35154,430644,12132,4.271830986,10800,3.802816901,213.429229,-726.638602
93430,2,5694,129896,2244,1.597153025,2050,1.459074733,70.945406,-241.711838
93432,1,1503,93867,578,0.955371901,515,0.851239669,35.510851,-120.488018
93433,2,27070,128434,12624,2.378745054,10270,1.935179951,70.24208,-241.251243
93434,1,7451,50864,3217,1.584729064,2760,1.359605911,34.969815,-120.573014
93436,5,281615,312115,111730,6.380925186,90000,5.139920046,173.254668,-602.2044331
93440,2,3318,129166,1300,2.292768959,1110,1.957671958,69.487136,-240.553634
93442,2,21834,141160,8666,1.714003165,7520,1.487341772,70.734161,-241.692475
93446,49,2187164,3320534,1000825,57.19,892290,50.988,1745.335213,-5915.450926
93449,17,139060,1436228,56491,13.40873487,49385,11.7220508,597.5174213,-2051.100448
93450,1,767,50556,282,1.382352941,200,0.980392157,35.9736508,-120.9000813
93451,2,8954,129764,3580,2.535410765,3170,2.245042493,71.58095963,-241.4552095
93452,3,1974,157734,924,2.869565217,720,2.236024845,106.879194,-363.474974
93453,1,2578,50675,899,0.766410912,760,0.647911338,35.391133,-120.609498
93454,9,363888,581175,155439,13.32410423,126720,10.86233499,314.400031,-1083.815875
93455,12,554100,1066488,243288,15.67779353,217560,14.01984792,418.842839,-1445.035952
93458,4,229024,235388,98340,7.463570128,76300,5.790831815,139.8757386,-481.7593899
93460,5,26420,477925,10265,5.074147306,9375,4.634206624,173.043653,-600.439803
93461,1,1349,50272,594,1.135755258,515,0.984703633,35.675115,-120.346632
93463,8,63288,778776,29776,9.218575851,22720,7.034055728,276.784283,-961.038334
93465,5,46010,460255,19270,5.740244266,17550,5.227882038,177.841499,-603.629504
93501,11,52822,398750,15334,7.990620115,12980,6.763939552,385.6151105,-1299.831903
